"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID762820",2,"Tonle Sap",1,3,3,12000,0,0,10800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762890",6,"Tonle Sap",1,0.4,0.4,1200,0,0,1080000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762895",NA,"",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762904",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762951",5,"Mountain",1,0.12,0.12,600,0,0,660000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID763006",14,"Plain",1,0.3,0.3,2000,0,0,1860000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID763017",6,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,1,3,3,9600,0,4800,0.5,1,0.49945059,0.49140048,0,33600000,3500
"HID763053",1,"Tonle Sap",1,3.72,3.72,6000,1500,1500,6000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID763100",14,"Plain",1,0.2,0.2,1200,0,0,1116000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID763104",25,"Plain",1,0.5,0.5,2000,0,0,1900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
